asin,title,brand,category,price,currency,original_price,discount_percent,rating,review_count,bought_last_month,availability,is_prime,seller,product_url,image_url,scraped_at
B0D1YQJKY2,"Lenovo V15 Gen 4 Business Laptop, 15.6"" FHD Display, Intel Core i5-13420H (Beat i7-1355U), HDMI, RJ45, Webcam, Numeric Keypad, Wi-Fi, Windows 11 Pro, Black (16GB RAM | 512GB SSD)",,laptop,,USD,,0.0,4.6,,400000000,In Stock,False,,,https://m.media-amazon.com/images/I/71N9tTF6pML._AC_UY218_.jpg,2026-06-12T09:58:42.744871
B0GKQTGRYS,"GEEKOM GeekBook X16 Pro 2.8 lbs Laptop, 16"" IPS 2.5K 16:10 Laptop Computer, Ultra 9 185H, 32GB LPDDR5x 7500MHz RAM 2TB SSD, Up to 17 Hour, USB4, Fingerprint, Dual Fan, Copilot, Windows 11 Pro",,laptop,129270.62,USD,162810.07,20.6,4.5,,,In Stock,False,,,https://m.media-amazon.com/images/I/81jyYO0uO9L._AC_UY218_.jpg,2026-06-12T09:58:43.032659
B0GX7RZMGJ,"Lenovo 2026 New V15 Laptop for Student & Business, Powerful AMD Ryzen 3 7320U (Beat i7-1065G7), 15.6 inch FHD, 16GB RAM, 256GB SSD, Ethernet Port RJ-45, Windows 11 Pro, Long Battery Life, No Mouse",,laptop,,USD,,0.0,,,100000000,In Stock,False,,,https://m.media-amazon.com/images/I/71lQ+pMJeVL._AC_UY218_.jpg,2026-06-12T09:58:43.198387
B0G11WY59L,"Dell 15 Laptop DC15250-15.6-inch FHD 120Hz Display, 13th Gen Intel Core i7-1355U, 16GB DDR5 RAM, 512GB SSD, Intel UHD Graphics, Windows 11 Home, 1 Year Basic Onsite Service - Platinum Silver",,laptop,,USD,,0.0,4.4,,200000000,In Stock,False,,,https://m.media-amazon.com/images/I/71AZek1CVTL._AC_UY218_.jpg,2026-06-12T09:58:43.387445
B0DYNTMMYR,"HP Laptop 2026 Edition with Copilot AI, 32GB RAM, 1TB SSD + 128GB UFS, Intel Processor, Long Battery Life, Lightweight, 1 Year Office 365, Windows 11 Home S for Students & Office, Type-C HUB, Pink",,laptop,,USD,,0.0,4.5,,100000000,In Stock,False,,,https://m.media-amazon.com/images/I/71mwZ8BA-yL._AC_UY218_.jpg,2026-06-12T09:58:43.575676
B0GMNN3268,"Lenovo 2026 Premium Bussiness Laptop, AMD 6-Core Ryzen 5 7535HS (Beat i7-1355U), 24GB DDR5, 1TB PCIe SSD, Radeon 660M Graphics, 15"" WUXGA IPS Display, Wi-Fi 6, Copilot AI, Windows 11",,laptop,,USD,,0.0,4.6,,100000000,In Stock,False,,,https://m.media-amazon.com/images/I/71QkrEpk-SL._AC_UY218_.jpg,2026-06-12T09:58:43.733687
B0G6YH29KQ,"Laptop 16-inch 8GB DDR 256GB SSD portable laptop computer, expandable to 1TB, AMD A9-9400 Radeon R5 CPU up to 3.2 GHz, 9000mAh battery, Numeric Keypad, USB 3.0, dual-band WiFi, webcam, slim laptops",,laptop,,USD,,0.0,5.0,,,In Stock,False,,,https://m.media-amazon.com/images/I/71-Tlz6oEEL._AC_UY218_.jpg,2026-06-12T09:58:43.885422
B0G4N8LQL2,"15.6"" Laptop Computer 2-in-1 AMD Ryzen 7430U (Beat i7-1355U) Win11 Pro, MS Office 365 Traditional Laptops 16GB 512GB SSD Backlit Keyboard Full HD IPS Display 1MP Camera Type-C BT 5.0 HDMI",,laptop,,USD,,0.0,3.0,,,In Stock,False,,,https://m.media-amazon.com/images/I/71W0uGU14sL._AC_UY218_.jpg,2026-06-12T09:58:54.735353
B0G3WW9R85,"15.6"" Laptop Computer, Core m3 8100Y(up to 3.40 GHz) Laptop, 360° Yoga FHD IPS sRGB Touchscreen 2 in 1 Notebook Win 11 Pro Office Suite 2.4G & 5G WiFi 5 BT 5.0 USB 3.0 (16G+512G)",,laptop,,USD,,0.0,4.0,,,In Stock,False,,,https://m.media-amazon.com/images/I/71tXirw+XVL._AC_UY218_.jpg,2026-06-12T09:58:54.926988
B0F195W823,"Acer Nitro V 16S AI Gaming Laptop | AMD Ryzen 7 260 Processor | NVIDIA GeForce RTX 5060 Laptop GPU (572 AI Tops) | 16"" WUXGA IPS 180Hz Display | 32GB DDR5 | 1TB Gen 4 SSD | Wi-Fi 6 | ANV16S-41-R2AJ",,laptop,125532.41,USD,134156.84,6.43,4.2,,400000000,In Stock,False,,,https://m.media-amazon.com/images/I/71HHF2jUnpL._AC_UY218_.jpg,2026-06-12T09:58:55.290776
